Collective Funding,Total Support,Ticket Sales,Contributions,Conf,School
22272474,"135,517,239","57,543,166","77,974,073",SEC,Texas
20253400,"123,232,149","59,649,921","63,582,228",Big Ten,Ohio State
20137141,"122,524,769","46,594,942","75,929,827",SEC,LSU
18326566,"111,508,298","37,192,353","74,315,945",SEC,Georgia
17228714,"104,828,397","50,624,287","54,204,110",SEC,Texas A&M
16357054,"99,524,766","55,266,135","44,258,631",Big Ten,Michigan
15995406,"97,324,316","44,211,016","53,113,300",SEC,Alabama
15802237,"96,148,974","34,784,702","61,364,272",SEC,Florida
15258374,"92,839,831","31,980,356","60,859,475",ACC,Clemson
14817595,"90,157,905","46,977,771","43,180,134",SEC,Oklahoma
13793489,"83,926,716","44,678,657","39,248,059",Big Ten,Penn State
13631160,"82,939,020","21,278,997","61,660,023",Big Ten,Indiana
13035471,"79,314,544","25,178,673","54,135,871",Big Ten,Michigan State
12780300,"77,761,952","15,114,983","62,646,969",ACC,Virginia
11602164,"70,593,563","35,110,289","35,483,274",SEC,Tennessee
11588953,"70,513,179","34,140,396","36,372,783",SEC,Auburn
11544039,"70,239,900","48,073,959","22,165,941",SEC,Arkansas
11254204,"68,476,390","40,538,111","27,938,279",SEC,Kentucky
10623807,"64,640,729","24,357,945","40,282,784",Big Ten,Oregon
10034191,"61,053,203","18,773,797","42,279,406",ACC,Florida State
9698730,"59,012,087","26,416,829","32,595,258",Big Ten,Iowa
9554700,"58,135,731","24,301,862","33,833,869",SEC,South Carolina
9443439,"57,458,760","27,045,669","30,413,091",ACC,Louisville
9406794,"57,235,798","29,198,790","28,037,008",Big Ten,Washington
9311667,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois
8982406,"54,653,602","38,117,093","16,536,509",Big Ten,Wisconsin
8872378,"53,984,130","19,574,652","34,409,478",SEC,Mississippi
8355617,"50,839,894","30,224,001","20,615,893",ACC,North Carolina
7973918,"48,517,435","38,946,701","9,570,734",Big Ten,Nebraska
7732903,"47,050,980","21,168,159","25,882,821",ACC,Virginia Tech
7551312,"45,946,084","22,909,710","23,036,374",Big 12,Iowa State
7427957,"45,195,526","17,933,864","27,261,662",Big 12,Kansas
7252969,"44,130,809","15,286,819","28,843,990",Big 12,Utah
7171424,"43,634,648","19,252,536","24,382,112",Big Ten,Minnesota
7146859,"43,485,183","13,929,479","29,555,704",SEC,Missouri
7121436,"43,330,498","15,221,310","28,109,188",Big 12,Kansas State
6986182,"42,507,539","13,560,519","28,947,020",Big 12,Texas Tech
6467166,"39,349,578","16,737,350","22,612,228",SEC,Mississippi State
6414683,"39,030,243","19,164,426","19,865,817",Big 12,Arizona
