Public Universities,Collective Funding,Total Support,Ticket Sales,Contributions,Conf
Texas,"$22,272,474","135,517,239","57,543,166","77,974,073",SEC
Ohio State,"$20,253,400","123,232,149","59,649,921","63,582,228",Big Ten
LSU,"$20,137,141","122,524,769","46,594,942","75,929,827",SEC
Georgia,"$18,326,566","111,508,298","37,192,353","74,315,945",SEC
Texas A&M,"$17,228,714","104,828,397","50,624,287","54,204,110",SEC
Michigan,"$16,357,054","99,524,766","55,266,135","44,258,631",Big Ten
Alabama,"$15,995,406","97,324,316","44,211,016","53,113,300",SEC
Florida,"$15,802,237","96,148,974","34,784,702","61,364,272",SEC
Clemson,"$15,258,374","92,839,831","31,980,356","60,859,475",ACC
Oklahoma,"$14,817,595","90,157,905","46,977,771","43,180,134",SEC
Penn State,"$13,793,489","83,926,716","44,678,657","39,248,059",Big Ten
Indiana,"$13,631,160","82,939,020","21,278,997","61,660,023",Big Ten
Michigan State,"$13,035,471","79,314,544","25,178,673","54,135,871",Big Ten
Virginia,"$12,780,300","77,761,952","15,114,983","62,646,969",ACC
Tennessee,"$11,602,164","70,593,563","35,110,289","35,483,274",SEC
Auburn,"$11,588,953","70,513,179","34,140,396","36,372,783",SEC
Arkansas,"$11,544,039","70,239,900","48,073,959","22,165,941",SEC
Kentucky,"$11,254,204","68,476,390","40,538,111","27,938,279",SEC
Oregon,"$10,623,807","64,640,729","24,357,945","40,282,784",Big Ten
Florida State,"$10,034,191","61,053,203","18,773,797","42,279,406",ACC
Iowa,"$9,698,730","59,012,087","26,416,829","32,595,258",Big Ten
South Carolina,"$9,554,700","58,135,731","24,301,862","33,833,869",SEC
Louisville,"$9,443,439","57,458,760","27,045,669","30,413,091",ACC
Washington,"$9,406,794","57,235,798","29,198,790","28,037,008",Big Ten
Illinois,"$9,311,667","56,656,994","15,693,517","40,963,477",Big Ten
Wisconsin,"$8,982,406","54,653,602","38,117,093","16,536,509",Big Ten
Mississippi,"$8,872,378","53,984,130","19,574,652","34,409,478",SEC
North Carolina,"$8,355,617","50,839,894","30,224,001","20,615,893",ACC
Nebraska,"$7,973,918","48,517,435","38,946,701","9,570,734",Big Ten
Virginia Tech,"$7,732,903","47,050,980","21,168,159","25,882,821",ACC
Iowa State,"$7,551,312","45,946,084","22,909,710","23,036,374",Big 12
Kansas,"$7,427,957","45,195,526","17,933,864","27,261,662",Big 12
Utah,"$7,252,969","44,130,809","15,286,819","28,843,990",Big 12
Minnesota,"$7,171,424","43,634,648","19,252,536","24,382,112",Big Ten
Missouri,"$7,146,859","43,485,183","13,929,479","29,555,704",SEC
Kansas State,"$7,121,436","43,330,498","15,221,310","28,109,188",Big 12
Texas Tech,"$6,986,182","42,507,539","13,560,519","28,947,020",Big 12
Mississippi St.,"$6,467,166","39,349,578","16,737,350","22,612,228",SEC
Arizona,"$6,414,683","39,030,243","19,164,426","19,865,817",Big 12
North Carolina State,"$5,935,429","36,114,218","21,214,362","14,899,856",ACC
UCLA,"$5,919,423","36,016,831","17,494,361","18,522,470",Big Ten
Arizona State,"$5,689,877","34,620,152","14,144,182","20,475,970",Big 12
Purdue,"$5,510,579","33,529,207","16,617,614","16,911,593",Big Ten
West Virginia,"$5,495,362","33,436,624","18,763,866","14,672,758",Big 12
Oklahoma State,"$5,338,583","32,482,697","12,882,021","19,600,676",Big 12
Colorado,"$5,337,719","32,477,439","19,175,198","13,302,241",Big 12
Georgia Tech,"$4,281,809","26,052,739","12,303,309","13,749,430",ACC
Cincinnati,"$3,984,845","24,245,856","9,631,998","14,613,858",Big 12
California,"$3,932,903","23,929,814","8,073,384","15,856,430",ACC
Maryland,"$3,735,112","22,726,352","12,735,792","9,990,560",Big Ten
Rutgers,"$3,624,816","22,055,252","13,049,333","9,005,919",Big Ten
Central Florida,"$3,308,993","20,133,624","5,782,943","14,350,681",Big 12
Washington State,"$3,216,991","19,573,838","9,299,636","10,274,202",Pac-12
Oregon State,"$3,163,423","19,247,899","9,447,886","9,800,013",Pac-12
Houston,"$2,098,333","12,767,342","5,191,579","7,575,763",Big 12
