School,Conf,Total Support,Ticket Sales,Contributions,Collective Funding
Air Force,MW,,,,
Boise State,MW,"16,827,686","7,226,105","9,601,581","$2,765,657"
Colorado State,MW,"15,736,383","4,742,234","10,994,149","$2,586,300"
Fresno State,MW,"12,794,521","5,914,738","6,879,783","$2,102,800"
Nevada,MW,"12,172,431","7,325,678","4,846,753","$2,000,558"
Nevada-Las Vegas,MW,"16,871,536","7,034,986","9,836,550","$2,772,864"
New Mexico,MW,"10,808,972","4,510,754","6,298,218","$1,776,472"
San Diego State,MW,"25,302,315","5,624,459","19,677,856","$4,158,476"
San Jose State,MW,"6,093,864","608,561","5,485,303","$1,001,536"
Utah State,MW,"9,198,542","2,718,827","6,479,715","$1,511,795"
Wyoming,MW,"14,763,429","4,084,611","10,678,818","$2,426,393"
Hawaii (Football),MW,"6,399,998","1,950,230","4,449,768","$1,051,850"
Alabama at Birmingham,American,"7,550,624","2,306,791","5,243,833","$1,240,957"
East Carolina,American,"17,571,910","5,807,897","11,764,013","$2,887,971"
Florida Atlantic,American,"7,960,674","1,112,409","6,848,265","$1,308,349"
Memphis,American,"16,031,952","10,253,609","5,778,343","$2,634,877"
North Texas,American,"3,696,302","1,337,778","2,358,524","$607,493"
Rice,American,,,,
South Florida,American,"13,604,611","6,485,854","7,118,757","$2,235,939"
Southern Methodist,ACC,,,,
Temple,American,,,,
Texas at San Antonio,American,"6,439,323","3,315,102","3,124,221","$1,058,313"
Tulane,American,,,,
Tulsa,American,,,,
UNC Charlotte,American,"9,558,628","1,628,183","7,930,445","$1,570,976"
Wichita State,American,"12,002,372","4,713,121","7,289,251","$1,972,609"
Army (Football),Patriot,,,,
Navy (Football),Patriot,,,,
Appalachian State,Sun Belt,"11,715,090","5,407,791","6,307,299","$1,925,394"
Arkansas State,Sun Belt,"7,347,777","1,178,133","6,169,644","$1,207,619"
Coastal Carolina,Sun Belt,"2,237,128","1,306,549","930,579","$367,676"
Georgia Southern,Sun Belt,"5,138,145","1,999,550","3,138,595","$844,462"
Georgia State,Sun Belt,"4,753,087","606,809","4,146,278","$781,177"
James Madison,Sun Belt,"7,348,797","3,564,462","3,784,335","$1,207,786"
Louisiana - Lafayette,Sun Belt,"7,817,600","2,411,959","5,405,641","$1,284,835"
Louisiana - Monroe,Sun Belt,"1,873,989","623,091","1,250,898",
Marshall,Sun Belt,"8,901,037","2,946,763","5,954,274","$1,462,900"
Old Dominion,Sun Belt,"14,538,249","2,493,640","12,044,609","$2,389,384"
South Alabama,Sun Belt,"2,916,110","1,176,270","1,739,840","$479,267"
Southern Mississippi,Sun Belt,"9,128,806","3,324,383","5,804,423","$1,500,334"
Texas State,Sun Belt,"3,644,980","1,191,968","2,453,012","$599,058"
Troy,Sun Belt,"2,349,746","778,536","1,571,210","$386,184"
Akron,MAC,-,-,-,
Ball State,MAC,"2,075,931","795,202","1,280,729","$341,183"
Bowling Green,MAC,"4,081,620","1,201,307","2,880,313","$670,821"
Buffalo,MAC,"2,121,063","1,010,239","1,110,824","$348,600"
Central Michigan,MAC,"3,321,120","682,078","2,639,042",
Eastern Michigan,MAC,"3,952,951","771,271","3,181,680",
Kent State,MAC,"974,748","313,217","661,531","$160,201"
Miami,MAC,"3,664,322","745,947","2,918,375",
Northern Illinois,MAC,"3,079,952","495,563","2,584,389","$506,195"
Ohio,MAC,"3,099,615","1,234,040","1,865,575","$509,427"
Toledo,MAC,"5,647,912","1,933,429","3,714,483","$928,243"
Western Michigan,MAC,"5,031,984","1,460,058","3,571,926","$827,015"
Florida International,CUSA,"1,399,013","774,837","624,176","$229,930"
Jacksonville State,CUSA,,,,
Kennesaw State University,CUSA,"2,206,872","635,600",-,"$362,703"
Liberty,CUSA,,,,
Louisiana Tech,CUSA,,,,
Middle Tennessee State,CUSA,,,,
New Mexico State,CUSA,"4,137,703","1,465,012","2,672,691","$680,038"
Sam Houston State,CUSA,"1,452,185","307,512","1,144,673","$238,669"
Texas at El Paso,CUSA,"5,814,721","2,318,851","3,495,870","$955,659"
Western Kentucky,CUSA,"5,296,863","2,281,717","3,015,146","$870,548"
