Unnamed: 0,season,first_name,last_name,position,origin,originNIL,destination,destinationNIL,transfer_date,rating,stars,eligibility,Total Support_x,Ticket Sales_x,Contributions_x,Conf_x,School_x,Total Support_y,Ticket Sales_y,Contributions_y,Conf_y,School_y,Total Support,Ticket Sales,Contributions,Conf,School
0,2021,Cameron,Wilkins,LB,Missouri,"$7,146,859",UTSA," $1,058,313.00 ",2021-07-31T14:46:00.000Z,,3,Immediate,"43,485,183","13,929,479","29,555,704",SEC,Missouri,"43,485,183","13,929,479","29,555,704",SEC,Missouri,,,,,
1,2021,Stephon,Wright,DL,Arizona State,"$5,689,877",SMU, none ,2021-07-29T15:50:00.000Z,,4,Immediate,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,,,,,
2,2021,Javar,Strong,S,Arkansas State,"$1,207,619",none, none ,2021-07-28T15:25:00.000Z,,3,Immediate,"7,347,777","1,178,133","6,169,644",Sun Belt,Arkansas State,"7,347,777","1,178,133","6,169,644",Sun Belt,Arkansas State,,,,,
3,2021,Noah,Mitchell,LB,UT San Antonio,,none, none ,2021-07-27T15:22:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
4,2021,Trivenskey,Mosley,RB,Southern Mississippi,"$1,500,334",none, none ,2021-07-26T00:00:00.000Z,,3,TBD,"9,128,806","3,324,383","5,804,423",Sun Belt,Southern Mississippi,"9,128,806","3,324,383","5,804,423",Sun Belt,Southern Mississippi,,,,,
5,2021,Jalar,Holley,DL,Miami,,none, none ,2021-07-25T15:28:00.000Z,,3,Immediate,"3,664,322","745,947","2,918,375",MAC,Miami,"3,664,322","745,947","2,918,375",MAC,Miami,,,,,
6,2021,Davon,Wells-Ross,LB,Wyoming,"$2,426,393",none, none ,2021-07-23T15:30:00.000Z,,2,Immediate,"14,763,429","4,084,611","10,678,818",MW,Wyoming,"14,763,429","4,084,611","10,678,818",MW,Wyoming,,,,,
7,2021,Samari,Saddler,IOL,Eastern Michigan,,none, none ,2021-07-23T11:00:00.000Z,,2,Immediate,"3,952,951","771,271","3,181,680",MAC,Eastern Michigan,"3,952,951","771,271","3,181,680",MAC,Eastern Michigan,,,,,
8,2021,Bennett,Johnston,QB,Southern Mississippi,"$1,500,334",none, none ,2021-07-22T14:32:00.000Z,,0,Immediate,"9,128,806","3,324,383","5,804,423",Sun Belt,Southern Mississippi,"9,128,806","3,324,383","5,804,423",Sun Belt,Southern Mississippi,,,,,
9,2021,DeAngelo,Wilson,WR,Austin Peay,,Western Kentucky," $870,548.00 ",2021-07-21T15:13:00.000Z,,2,Immediate,,,,,,,,,,,"5,296,863","2,281,717","3,015,146",CUSA,Western Kentucky
10,2021,Lashawn,Paulino-Bell,EDGE,Vanderbilt,,none, none ,2021-07-20T18:03:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
11,2021,Chris,Lovick,RB,Tulsa,,none, none ,2021-07-19T17:01:00.000Z,,2,Immediate,,,,American,Tulsa,,,,American,Tulsa,,,,,
12,2021,Kevin,Orange,RB,Missouri Western State,,Kansas," $7,427,957.00 ",2021-07-16T00:00:00.000Z,,0,Immediate,,,,,,,,,,,"45,195,526","17,933,864","27,261,662",Big 12,Kansas
13,2021,Shaquan,Griffin,DL,Georgia Southern,"$844,462",none, none ,2021-07-15T10:24:00.000Z,,2,Immediate,"5,138,145","1,999,550","3,138,595",Sun Belt,Georgia Southern,"5,138,145","1,999,550","3,138,595",Sun Belt,Georgia Southern,,,,,
14,2021,Kevin,Tyler,OT,Illinois,"$9,311,667",Prairie View, none ,2021-07-15T09:01:00.000Z,,3,Immediate,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,,,,,
15,2021,Deonte,Williams,EDGE,Florida State,"$10,034,191",none, none ,2021-07-14T11:40:00.000Z,,3,Immediate,"61,053,203","18,773,797","42,279,406",ACC,Florida State,"61,053,203","18,773,797","42,279,406",ACC,Florida State,,,,,
