Unnamed: 0,season,first_name,last_name,position,origin,origin21%,origin22%,origin23%,originNIL,destination,destination21%,destination22%,destination23%,destinationNIL,transfer_date,rating,stars,eligibility
0,2021.0,Cameron,Wilkins,LB,Missouri,46.0,46.0,85.0,7146859,UTSA,86.0,79.0,69.0,1058313,2021-07-31T14:46:00.000Z,,3.0,Immediate
1,2021.0,Stephon,Wright,DL,Arizona State,62.0,25.0,25.0,5689877,SMU,67.0,54.0,79.0,10946275,2021-07-29T15:50:00.000Z,,4.0,Immediate
2,2021.0,Javar,Strong,S,Arkansas State,17.0,25.0,46.0,1207619,none,,,,none,2021-07-28T15:25:00.000Z,,3.0,Immediate
3,2021.0,Noah,Mitchell,LB,UTSA,86.0,79.0,69.0,1058313,none,,,,none,2021-07-27T15:22:00.000Z,,3.0,Immediate
4,2021.0,Trivenskey,Mosley,RB,Southern Mississippi,25.0,54.0,25.0,1500334,none,,,,none,2021-07-26T00:00:00.000Z,,3.0,TBD
5,2021.0,Jalar,Holley,DL,Miami,57.99999999999999,42.0,54.0,1471894,none,,,,none,2021-07-25T15:28:00.000Z,,3.0,Immediate
6,2021.0,Davon,Wells-Ross,LB,Wyoming,54.0,54.0,69.0,2426393,none,,,,none,2021-07-23T15:30:00.000Z,,2.0,Immediate
7,2021.0,Samari,Saddler,IOL,Eastern Michigan,54.0,69.0,46.0,1471894,none,,,,none,2021-07-23T11:00:00.000Z,,2.0,Immediate
8,2021.0,Bennett,Johnston,QB,Southern Mississippi,25.0,54.0,25.0,1500334,none,,,,none,2021-07-22T14:32:00.000Z,,0.0,Immediate
9,2021.0,DeAngelo,Wilson,WR,Austin Peay,,,,No Data,Western Kentucky,64.0,64.0,62.0,870548,2021-07-21T15:13:00.000Z,,2.0,Immediate
10,2021.0,Lashawn,Paulino-Bell,EDGE,Vanderbilt,17.0,42.0,17.0,14642200,none,,,,none,2021-07-20T18:03:00.000Z,,3.0,Immediate
11,2021.0,Chris,Lovick,RB,Tulsa,54.0,42.0,33.0,1471894,none,,,,none,2021-07-19T17:01:00.000Z,,2.0,Immediate
12,2021.0,Kevin,Orange,RB,Missouri Western State,,,,No Data,Kansas,17.0,46.0,69.0,7427957,2021-07-16T00:00:00.000Z,,0.0,Immediate
13,2021.0,Shaquan,Griffin,DL,Georgia Southern,25.0,46.0,46.0,844462,none,,,,none,2021-07-15T10:24:00.000Z,,2.0,Immediate
14,2021.0,Kevin,Tyler,OT,Illinois,42.0,62.0,42.0,9311667,Prairie View,,,,No Data,2021-07-15T09:01:00.000Z,,3.0,Immediate
15,2021.0,Deonte,Williams,EDGE,Florida State,42.0,77.0,93.0,10034191,none,,,,none,2021-07-14T11:40:00.000Z,,3.0,Immediate
16,2021.0,Mike,Wyman,WR,South Carolina,54.0,62.0,42.0,9554700,none,,,,none,2021-07-14T11:08:00.000Z,,4.0,Immediate
17,2021.0,Jordan,Mitchell,EDGE,Georgia Southern,25.0,46.0,46.0,844462,Texas State,33.0,33.0,62.0,599058,2021-07-13T15:10:00.000Z,,3.0,Immediate
