Unnamed: 0,season,first_name,last_name,position,origin,originNIL,destination,destination21%,destination22%,destination23%,destinationNIL,transfer_date,rating,stars,eligibility
186,2021.0,Daviyon,McDaniel,IOL,Charleston Southern,No Data,UNLV,17.0,42.0,64.0,2772864,2021-05-10T00:00:00.000Z,0.0,0.0,Immediate
581,2021.0,Tate,Martell,QB,Miami,1471894,UNLV,17.0,42.0,64.0,2772864,2021-01-27T00:00:00.000Z,0.0,4.0,Immediate
784,2021.0,Jordan,Jakes,WR,Indiana,13631160,UNLV,17.0,42.0,64.0,2772864,2021-01-09T00:00:00.000Z,0.0,3.0,Immediate
581,2021.0,Tate,Martell,QB,Miami,0,UNLV,17.0,42.0,64.0,2772864,2021-01-27T00:00:00.000Z,0.0,4.0,Immediate
784,2021.0,Jordan,Jakes,WR,Indiana,13631160,UNLV,17.0,42.0,64.0,2772864,2021-01-09T00:00:00.000Z,0.0,3.0,Immediate
866,2021.0,Jayvaun,Wilson,RB,Oregon,10623807,UNLV,17.0,42.0,64.0,2772864,2021-01-04T00:00:00.000Z,0.0,3.0,TBD
932,2021.0,Connor,Murphy,DL,USC,11772392,UNLV,17.0,42.0,64.0,2772864,2020-12-29T00:00:00.000Z,0.0,4.0,Immediate
866,2021.0,Jayvaun,Wilson,RB,Oregon,10623807,UNLV,17.0,42.0,64.0,2772864,2021-01-04T00:00:00.000Z,0.0,3.0,TBD
932,2021.0,Connor,Murphy,DL,USC,0,UNLV,17.0,42.0,64.0,2772864,2020-12-29T00:00:00.000Z,0.0,4.0,Immediate
1491,2021.0,Kylan,Wilborn,EDGE,Arizona,6414683,UNLV,17.0,42.0,64.0,2772864,2020-09-23T00:00:00.000Z,0.0,3.0,Immediate
1491,2021.0,Kylan,Wilborn,EDGE,Arizona,6414683,UNLV,17.0,42.0,64.0,2772864,2020-09-23T00:00:00.000Z,0.0,3.0,Immediate
2174,2022.0,Cobe,Bryant,OT,SMU,10946275,UNLV,17.0,42.0,64.0,2772864,2021-11-29T15:31:00.000Z,0.81,3.0,Immediate
2222,2022.0,Marshall,Nichols,P,Mississippi State,6467166,UNLV,17.0,42.0,64.0,2772864,2022-04-27T13:50:00.000Z,0.0,0.0,Immediate
2174,2022.0,Cobe,Bryant,OT,SMU,0,UNLV,17.0,42.0,64.0,2772864,2021-11-29T15:31:00.000Z,0.81,3.0,Immediate
2222,2022.0,Marshall,Nichols,P,Mississippi State,6467166,UNLV,17.0,42.0,64.0,2772864,2022-04-27T13:50:00.000Z,0.0,0.0,Immediate
2739,2022.0,Doug,Brumfield,QB,UNLV,2772864,UNLV,17.0,42.0,64.0,2772864,2022-04-12T18:50:00.000Z,0.0,3.0,Immediate
2957,2022.0,Jordan,Eubanks,LB,Florida State,10034191,UNLV,17.0,42.0,64.0,2772864,2022-01-06T19:53:00.000Z,0.83,3.0,Immediate
2985,2022.0,Aidan,Robbins,RB,Louisville,9443439,UNLV,17.0,42.0,64.0,2772864,2022-01-11T17:47:00.000Z,0.84,3.0,Immediate
2739,2022.0,Doug,Brumfield,QB,UNLV,2772864,UNLV,17.0,42.0,64.0,2772864,2022-04-12T18:50:00.000Z,0.0,3.0,Immediate
2957,2022.0,Jordan,Eubanks,LB,Florida State,10034191,UNLV,17.0,42.0,64.0,2772864,2022-01-06T19:53:00.000Z,0.83,3.0,Immediate
2985,2022.0,Aidan,Robbins,RB,Louisville,9443439,UNLV,17.0,42.0,64.0,2772864,2022-01-11T17:47:00.000Z,0.84,3.0,Immediate
3480,2022.0,Waisale,Muavesi,DL,UNLV,2772864,UNLV,17.0,42.0,64.0,2772864,2021-12-28T17:43:00.000Z,0.0,3.0,Immediate
3480,2022.0,Waisale,Muavesi,DL,UNLV,2772864,UNLV,17.0,42.0,64.0,2772864,2021-12-28T17:43:00.000Z,0.0,3.0,Immediate
3773,2022.0,Harrison,Bailey,QB,Tennessee,11602164,UNLV,17.0,42.0,64.0,2772864,2021-10-27T20:39:00.000Z,0.86,3.0,Immediate
3826,2022.0,Ricky,White,WR,Michigan State,13035471,UNLV,17.0,42.0,64.0,2772864,2021-12-06T20:20:00.000Z,0.0,3.0,Immediate
3773,2022.0,Harrison,Bailey,QB,Tennessee,11602164,UNLV,17.0,42.0,64.0,2772864,2021-10-27T20:39:00.000Z,0.86,3.0,Immediate
3826,2022.0,Ricky,White,WR,Michigan State,13035471,UNLV,17.0,42.0,64.0,2772864,2021-12-06T20:20:00.000Z,0.0,3.0,Immediate
4250,2023.0,Bam,Amina,LB,Colorado State,2586300,UNLV,17.0,42.0,64.0,2772864,2022-08-15T14:19:00.000Z,0.0,3.0,Immediate
4250,2023.0,Bam,Amina,LB,Colorado State,2586300,UNLV,17.0,42.0,64.0,2772864,2022-08-15T14:19:00.000Z,0.0,3.0,Immediate
4616,2023.0,Jackson,Woodard,LB,Arkansas,11544039,UNLV,17.0,42.0,64.0,2772864,2022-12-30T06:00:00.000Z,0.0,2.0,Immediate
4616,2023.0,Jackson,Woodard,LB,Arkansas,11544039,UNLV,17.0,42.0,64.0,2772864,2022-12-30T06:00:00.000Z,0.0,2.0,Immediate
5189,2023.0,Jalen,Frazier,CB,NC State,5935429,UNLV,17.0,42.0,64.0,2772864,2022-12-31T19:37:00.000Z,0.0,3.0,Immediate
5189,2023.0,Jalen,Frazier,CB,NC State,5935429,UNLV,17.0,42.0,64.0,2772864,2022-12-31T19:37:00.000Z,0.0,3.0,Immediate
5835,2023.0,Vincent,Davis,RB,Pittsburgh,No Data,UNLV,17.0,42.0,64.0,2772864,2023-01-11T15:23:00.000Z,0.0,3.0,Immediate
5835,2023.0,Vincent,Davis,RB,Pittsburgh,0,UNLV,17.0,42.0,64.0,2772864,2023-01-11T15:23:00.000Z,0.0,3.0,Immediate
5990,2023.0,Jose,Pizano,K,Missouri State,No Data,UNLV,17.0,42.0,64.0,2772864,2023-02-01T21:43:00.000Z,0.0,2.0,Immediate
6006,2023.0,Jack,Hasz,IOL,Buffalo,348600,UNLV,17.0,42.0,64.0,2772864,2023-02-01T21:43:00.000Z,0.0,2.0,Immediate
5990,2023.0,Jose,Pizano,K,Missouri State,0,UNLV,17.0,42.0,64.0,2772864,2023-02-01T21:43:00.000Z,0.0,2.0,Immediate
6006,2023.0,Jack,Hasz,IOL,Buffalo,348600,UNLV,17.0,42.0,64.0,2772864,2023-02-01T21:43:00.000Z,0.0,2.0,Immediate
6118,2023.0,Jalen,St. John,OT,Arkansas,11544039,UNLV,17.0,42.0,64.0,2772864,2022-12-19T20:54:00.000Z,0.0,3.0,Immediate
6118,2023.0,Jalen,St. John,OT,Arkansas,11544039,UNLV,17.0,42.0,64.0,2772864,2022-12-19T20:54:00.000Z,0.0,3.0,Immediate
6277,2023.0,Jaxen,Turner,S,Arizona,6414683,UNLV,17.0,42.0,64.0,2772864,2022-12-05T20:51:00.000Z,0.0,3.0,Immediate
6317,2023.0,Zavier,Carter,LB,LSU,20137141,UNLV,17.0,42.0,64.0,2772864,2023-02-01T21:43:00.000Z,0.0,4.0,Immediate
6277,2023.0,Jaxen,Turner,S,Arizona,6414683,UNLV,17.0,42.0,64.0,2772864,2022-12-05T20:51:00.000Z,0.0,3.0,Immediate
6317,2023.0,Zavier,Carter,LB,LSU,20137141,UNLV,17.0,42.0,64.0,2772864,2023-02-01T21:43:00.000Z,0.0,4.0,Immediate
