Unnamed: 0,season,first_name,last_name,position,origin,origin21%,origin22%,origin23%,origin24%,originNIL,destination,destinationNIL,transfer_date,rating,stars,eligibility
470,2021.0,Garrett,Beckman,IOL,UNLV,17.0,42.0,64.0,0.42,2772864,Colorado Mesa,No Data,2021-02-23T00:00:00.000Z,0.0,2.0,TBD
506,2021.0,Sir Oliver,Everett,ATH,UNLV,17.0,42.0,64.0,0.25,2772864,none,none,2021-02-09T00:00:00.000Z,0.0,2.0,TBD
583,2021.0,Tyleek,Collins,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-01-27T00:00:00.000Z,0.0,3.0,TBD
670,2021.0,Kenyon,Oblad,QB,UNLV,17.0,42.0,64.0,0.0,2772864,Utah Tech,No Data,2021-01-19T00:00:00.000Z,0.0,3.0,TBD
683,2021.0,Jalen,Graves,DL,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-01-18T00:00:00.000Z,0.0,2.0,TBD
794,2021.0,Jeremy,Clark,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-01-08T00:00:00.000Z,0.0,2.0,TBD
470,2021.0,Garrett,Beckman,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Colorado Mesa,0,2021-02-23T00:00:00.000Z,0.0,2.0,TBD
506,2021.0,Sir Oliver,Everett,ATH,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-02-09T00:00:00.000Z,0.0,2.0,TBD
583,2021.0,Tyleek,Collins,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-01-27T00:00:00.000Z,0.0,3.0,TBD
670,2021.0,Kenyon,Oblad,QB,UNLV,17.0,42.0,64.0,0.0,2772864,Utah Tech,0,2021-01-19T00:00:00.000Z,0.0,3.0,TBD
683,2021.0,Jalen,Graves,DL,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-01-18T00:00:00.000Z,0.0,2.0,TBD
794,2021.0,Jeremy,Clark,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-01-08T00:00:00.000Z,0.0,2.0,TBD
823,2021.0,Jamaal,Neal,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-01-06T00:00:00.000Z,0.0,2.0,TBD
915,2021.0,Mekhi,Stevenson,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Albany,No Data,2020-12-31T00:00:00.000Z,0.0,3.0,TBD
973,2021.0,Randal,Grimes,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Weber State,No Data,2020-12-22T00:00:00.000Z,0.0,3.0,TBD
985,2021.0,Marckell,Grayson,QB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2020-12-22T00:00:00.000Z,0.0,3.0,TBD
1004,2021.0,Greg,Francis,CB,UNLV,17.0,42.0,64.0,0.0,2772864,North Texas,607493,2020-12-21T00:00:00.000Z,0.0,3.0,TBD
823,2021.0,Jamaal,Neal,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-01-06T00:00:00.000Z,0.0,2.0,TBD
915,2021.0,Mekhi,Stevenson,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Albany,0,2020-12-31T00:00:00.000Z,0.0,3.0,TBD
973,2021.0,Randal,Grimes,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Weber State,0,2020-12-22T00:00:00.000Z,0.0,3.0,TBD
985,2021.0,Marckell,Grayson,QB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2020-12-22T00:00:00.000Z,0.0,3.0,TBD
1004,2021.0,Greg,Francis,CB,UNLV,17.0,42.0,64.0,0.0,2772864,North Texas,607493,2020-12-21T00:00:00.000Z,0.0,3.0,TBD
1353,2021.0,Dylan,Downing,RB,UNLV,17.0,42.0,64.0,0.0,2772864,Purdue,5510579,2020-11-10T00:00:00.000Z,0.0,3.0,TBD
1376,2021.0,Jamal,Holloway,EDGE,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2020-11-05T00:00:00.000Z,0.0,3.0,TBD
1353,2021.0,Dylan,Downing,RB,UNLV,17.0,42.0,64.0,0.0,2772864,Purdue,5510579,2020-11-10T00:00:00.000Z,0.0,3.0,TBD
1376,2021.0,Jamal,Holloway,EDGE,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2020-11-05T00:00:00.000Z,0.0,3.0,TBD
1765,2021.0,Justice,Oluwaseun,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Miami,1471894,2021-01-20T00:00:00.000Z,0.84,3.0,TBD
1819,2022.0,Justin,Rogers,QB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2022-01-24T18:53:00.000Z,0.84,3.0,Immediate
1765,2021.0,Justice,Oluwaseun,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Miami,0,2021-01-20T00:00:00.000Z,0.84,3.0,TBD
1819,2022.0,Justin,Rogers,QB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2022-01-24T18:53:00.000Z,0.84,3.0,Immediate
2143,2022.0,Malik,Wesley,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2022-01-19T01:41:00.000Z,0.0,2.0,Immediate
2217,2022.0,Jaylen,Lane,S,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2022-04-29T16:03:00.000Z,0.0,3.0,Immediate
2143,2022.0,Malik,Wesley,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2022-01-19T01:41:00.000Z,0.0,2.0,Immediate
2217,2022.0,Jaylen,Lane,S,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2022-04-29T16:03:00.000Z,0.0,3.0,Immediate
2330,2022.0,Kamren,Blanton,CB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2022-04-29T16:19:00.000Z,0.0,3.0,Immediate
2378,2022.0,Jeminai,Leuta-Ulu,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2022-04-29T15:53:00.000Z,0.0,3.0,Immediate
2392,2022.0,Patrick,Ballard,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Abilene Christian,No Data,2022-03-30T16:24:00.000Z,0.0,3.0,Immediate
2330,2022.0,Kamren,Blanton,CB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2022-04-29T16:19:00.000Z,0.0,3.0,Immediate
2378,2022.0,Jeminai,Leuta-Ulu,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2022-04-29T15:53:00.000Z,0.0,3.0,Immediate
2392,2022.0,Patrick,Ballard,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Abilene Christian,0,2022-03-30T16:24:00.000Z,0.0,3.0,Immediate
2739,2022.0,Doug,Brumfield,QB,UNLV,17.0,42.0,64.0,0.0,2772864,UNLV,2772864,2022-04-12T18:50:00.000Z,0.0,3.0,Immediate
2753,2022.0,Mychal,Victor,CB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2022-01-06T23:06:00.000Z,0.0,3.0,Immediate
2859,2022.0,Aaron,Holloway,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-12-01T23:04:00.000Z,0.0,3.0,Immediate
3081,2022.0,Malcolm,Johnson,LB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-12-08T20:53:00.000Z,0.0,2.0,Immediate
2739,2022.0,Doug,Brumfield,QB,UNLV,17.0,42.0,64.0,0.0,2772864,UNLV,2772864,2022-04-12T18:50:00.000Z,0.0,3.0,Immediate
2753,2022.0,Mychal,Victor,CB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2022-01-06T23:06:00.000Z,0.0,3.0,Immediate
2859,2022.0,Aaron,Holloway,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-12-01T23:04:00.000Z,0.0,3.0,Immediate
3081,2022.0,Malcolm,Johnson,LB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-12-08T20:53:00.000Z,0.0,2.0,Immediate
3204,2022.0,Malakai,Salu,LB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-12-03T14:40:00.000Z,0.75,2.0,Immediate
3204,2022.0,Malakai,Salu,LB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-12-03T14:40:00.000Z,0.75,2.0,Immediate
3272,2022.0,Noah,Bean,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-12-07T20:54:00.000Z,0.0,3.0,Immediate
3301,2022.0,Jamel,Hamm,CB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-12-10T20:53:00.000Z,0.0,3.0,Immediate
3472,2022.0,Jeremiah,Houston,CB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-11-30T20:26:00.000Z,0.0,3.0,Immediate
3480,2022.0,Waisale,Muavesi,DL,UNLV,17.0,42.0,64.0,0.0,2772864,UNLV,2772864,2021-12-28T17:43:00.000Z,0.0,3.0,Immediate
3272,2022.0,Noah,Bean,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-12-07T20:54:00.000Z,0.0,3.0,Immediate
3301,2022.0,Jamel,Hamm,CB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-12-10T20:53:00.000Z,0.0,3.0,Immediate
3472,2022.0,Jeremiah,Houston,CB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-11-30T20:26:00.000Z,0.0,3.0,Immediate
3480,2022.0,Waisale,Muavesi,DL,UNLV,17.0,42.0,64.0,0.0,2772864,UNLV,2772864,2021-12-28T17:43:00.000Z,0.0,3.0,Immediate
3845,2022.0,Jacoby,Windmon,LB,UNLV,17.0,42.0,64.0,0.0,2772864,Michigan State,13035471,2021-11-29T04:09:00.000Z,0.89,3.0,Immediate
3860,2022.0,Daniel,Caloca,DT,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-12-02T20:53:00.000Z,0.77,2.0,Immediate
3845,2022.0,Jacoby,Windmon,LB,UNLV,17.0,42.0,64.0,0.0,2772864,Michigan State,13035471,2021-11-29T04:09:00.000Z,0.89,3.0,Immediate
3860,2022.0,Daniel,Caloca,DT,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-12-02T20:53:00.000Z,0.77,2.0,Immediate
3990,2022.0,Farrell,Hester,LB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2021-12-03T14:42:00.000Z,0.79,2.0,Immediate
3990,2022.0,Farrell,Hester,LB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2021-12-03T14:42:00.000Z,0.79,2.0,Immediate
4054,2023.0,Jeffrey,Weimer,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2023-06-25T21:00:00.000Z,0.0,3.0,Immediate
4101,2023.0,Noah,McKinney,OT,UNLV,17.0,42.0,64.0,0.0,2772864,Oklahoma State,5338583,2022-12-05T22:38:00.000Z,0.86,3.0,Immediate
4054,2023.0,Jeffrey,Weimer,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2023-06-25T21:00:00.000Z,0.0,3.0,Immediate
4101,2023.0,Noah,McKinney,OT,UNLV,17.0,42.0,64.0,0.0,2772864,Oklahoma State,5338583,2022-12-05T22:38:00.000Z,0.86,3.0,Immediate
4158,2023.0,Jayvaun,Wilson,RB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2023-04-25T13:08:00.000Z,0.0,4.0,Immediate
4158,2023.0,Jayvaun,Wilson,RB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2023-04-25T13:08:00.000Z,0.0,4.0,Immediate
4454,2023.0,Tanner,Salisbury,LB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2022-08-05T18:49:00.000Z,0.84,3.0,Immediate
4623,2023.0,Leif,Fautanu,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Arizona State,5689877,2022-12-08T20:09:00.000Z,0.85,3.0,Immediate
4454,2023.0,Tanner,Salisbury,LB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2022-08-05T18:49:00.000Z,0.84,3.0,Immediate
4623,2023.0,Leif,Fautanu,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Arizona State,5689877,2022-12-08T20:09:00.000Z,0.85,3.0,Immediate
4681,2023.0,Brye,Lighon,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2023-04-26T20:51:00.000Z,0.0,3.0,Immediate
4739,2023.0,Shaun,Grayson,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2023-04-18T18:35:00.000Z,0.0,3.0,Immediate
4830,2023.0,Harrison,Bailey,QB,UNLV,17.0,42.0,64.0,0.0,2772864,Louisville,9443439,2023-04-17T19:15:00.000Z,0.85,3.0,Immediate
4851,2023.0,Nohl,Williams,CB,UNLV,17.0,42.0,64.0,0.0,2772864,California,3932903,2022-12-05T23:37:00.000Z,0.91,4.0,Immediate
4955,2023.0,Spencer,Briggs,RB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2023-04-21T16:45:00.000Z,0.0,2.0,Immediate
5168,2023.0,Samuel,Green,RB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2023-04-27T03:43:00.000Z,0.0,3.0,Immediate
5250,2023.0,Preston,Nichols,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Purdue,5510579,2023-04-18T17:23:00.000Z,0.87,3.0,Immediate
4681,2023.0,Brye,Lighon,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2023-04-26T20:51:00.000Z,0.0,3.0,Immediate
4739,2023.0,Shaun,Grayson,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2023-04-18T18:35:00.000Z,0.0,3.0,Immediate
4830,2023.0,Harrison,Bailey,QB,UNLV,17.0,42.0,64.0,0.0,2772864,Louisville,9443439,2023-04-17T19:15:00.000Z,0.85,3.0,Immediate
4851,2023.0,Nohl,Williams,CB,UNLV,17.0,42.0,64.0,0.0,2772864,California,3932903,2022-12-05T23:37:00.000Z,0.91,4.0,Immediate
4955,2023.0,Spencer,Briggs,RB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2023-04-21T16:45:00.000Z,0.0,2.0,Immediate
5168,2023.0,Samuel,Green,RB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2023-04-27T03:43:00.000Z,0.0,3.0,Immediate
5250,2023.0,Preston,Nichols,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Purdue,5510579,2023-04-18T17:23:00.000Z,0.87,3.0,Immediate
5427,2023.0,Aidan,Robbins,RB,UNLV,17.0,42.0,64.0,0.0,2772864,BYU,11377377,2022-12-08T20:04:00.000Z,0.92,4.0,Immediate
5427,2023.0,Aidan,Robbins,RB,UNLV,17.0,42.0,64.0,0.0,2772864,BYU,0,2022-12-08T20:04:00.000Z,0.92,4.0,Immediate
5529,2023.0,Gary,Quarles,RB,UNLV,17.0,42.0,64.0,0.0,2772864,none,none,2023-04-15T13:26:00.000Z,0.0,2.0,Immediate
5610,2023.0,Phillip,Hill,S,UNLV,17.0,42.0,64.0,0.0,2772864,North Texas,607493,2022-12-27T17:51:00.000Z,0.0,3.0,Immediate
5529,2023.0,Gary,Quarles,RB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0,2023-04-15T13:26:00.000Z,0.0,2.0,Immediate
