Player Id,Player College GSIS,Name,Unnamed: 7,Conf,Team,#,POS,S,OFF,OFF%,Run,Pass,RBLK,PBLK,OFF GRD,PASS GRD,REC GRD,RUSH GRD,PBLK GRD,RBLK GRD,KEY,PEN
175337,423285,Anthony Ferrucci,boston-college-eagles,ACC,BOSTON COL,33,HB,2024,1,0.0,0,0,1,0,60.0,,,,,60.0,0,0-0
190183,447448,Brady Clough,boston-college-eagles,ACC,BOSTON COL,84,TE,2024,5,0.0,0,0,5,0,44.6,,,,,44.7,2,0-0
190203,398276,Bryant Worrell,boston-college-eagles,ACC,BOSTON COL,S46,LS,2024,2,0.0,0,0,1,1,60.0,,,,63.8,60.0,1,0-0
190190,431391,Danny Edgehille,boston-college-eagles,ACC,BOSTON COL,86,TE,2024,19,0.0,0,1,18,0,47.8,,59.9,,,46.0,5,0-0
175341,431395,Datrell Jones,boston-college-eagles,ACC,BOSTON COL,26,HB,2024,13,0.0,10,2,1,0,75.6,,59.1,73.3,,60.0,5,0-0
97422,325507,Dino Tomlin,boston-college-eagles,ACC,BOSTON COL,13,WR,2024,160,0.0002,0,80,80,0,51.8,,51.1,,,58.2,4,0-0
143829,362249,Drew Kendall,boston-college-eagles,ACC,BOSTON COL,66,C,2024,777,0.0011,0,0,412,365,79.4,,,,81.5,75.9,126,1-1
123530,362193,Dwayne Allick,boston-college-eagles,ACC,BOSTON COL,53,G,2024,411,0.0006,0,0,223,188,56.4,,,,34.7,59.6,94,0-0
175334,431390,Eryx Daugherty,boston-college-eagles,ACC,BOSTON COL,56,G,2024,96,0.0001,0,0,39,57,58.8,,,,76.1,53.5,18,1-0
145214,361993,Grayson James,boston-college-eagles,ACC,BOSTON COL,14,QB,2024,396,0.0006,18,207,171,0,68.9,64.8,,68.9,,60.2,106,0-0
162680,446906,Ismael Zamor,boston-college-eagles,ACC,BOSTON COL,82,WR,2024,29,0.0,0,11,18,0,57.6,,52.7,,,75.8,1,0-0
98524,349064,Jack Conley,boston-college-eagles,ACC,BOSTON COL,67,G,2024,596,0.0009,0,4,324,268,59.3,,54.4,,57.1,57.9,126,1-0
162663,398366,Jack Funke,boston-college-eagles,ACC,BOSTON COL,72,G,2024,31,0.0,0,0,24,7,80.6,,,,82.5,78.3,11,0-0
174006,431401,Jacobe Robinson,boston-college-eagles,ACC,BOSTON COL,16,QB,2024,34,0.0,3,6,25,0,65.5,74.1,,55.0,,60.0,6,0-0
175343,422357,Jaedn Skeete,boston-college-eagles,ACC,BOSTON COL,06,WR,2024,285,0.0004,0,182,103,0,61.3,,60.2,,,67.3,26,0-0
122895,348549,Jay Brunelle,boston-college-eagles,ACC,BOSTON COL,85,WR,2024,10,0.0,0,1,9,0,59.7,,59.9,,,61.1,0,0-0
157184,385461,Jayden McGowan,boston-college-eagles,ACC,BOSTON COL,02,WR,2024,39,0.0001,2,24,13,0,59.5,,55.2,68.1,,60.7,6,0-0
144761,373379,Jerand Bradley,boston-college-eagles,ACC,BOSTON COL,09,WR,2024,170,0.0002,0,101,69,0,60.7,,60.4,,,60.2,9,0-0
156225,386294,Jeremiah Franklin,boston-college-eagles,ACC,BOSTON COL,17,TE,2024,570,0.0008,0,197,334,39,70.5,,74.6,,52.3,57.6,136,1-0
190197,439292,John Montague,boston-college-eagles,ACC,BOSTON COL,08,WR,2024,89,0.0001,3,70,16,0,57.3,,53.5,73.2,,61.7,7,1-0
158449,385969,Jordan McDonald,boston-college-eagles,ACC,BOSTON COL,24,HB,2024,80,0.0001,52,19,2,7,84.8,,63.5,83.8,23.4,60.0,35,0-0
156223,394627,Jude Bowry,boston-college-eagles,ACC,BOSTON COL,71,T,2024,728,0.0011,0,0,393,335,70.5,,,,76.3,64.7,144,1-0
99713,337541,Kamari Morales,boston-college-eagles,ACC,BOSTON COL,88,TE,2024,575,0.0008,0,215,333,27,61.4,,62.2,,40.8,58.9,108,2-1
123537,362222,Kevin Cline,boston-college-eagles,ACC,BOSTON COL,79,T,2024,172,0.0002,0,0,81,91,69.5,,,,73.2,67.8,34,1-0
145532,362216,Kye Robichaux,boston-college-eagles,ACC,BOSTON COL,05,HB,2024,409,0.0006,174,158,39,38,69.7,,55.3,72.2,45.7,54.4,92,0-0
