Rank,Unnamed: 1,Player Id,Slug,Player GSIS,Player College GSIS,Player Sportradar Id,Name,Conf,Team,#,POS,S,OFF,OFF%,Run,Pass,RBLK,PBLK,OFF GRD,PASS GRD,REC GRD,RUSH GRD,PBLK GRD,RBLK GRD,KEY,PEN,origin24%
,,157904,air-force-falcons,,386351,,Aiden Calvert,MW,AIR FORCE,28,HB,2024,120,0.001,19,26,74,1,60.6,,49.9,63.8,73.1,63.4,22,0-0,0.42
,,186417,air-force-falcons,,429399,,Alec Falk,MW,AIR FORCE,75,G,2024,513,0.0044,0,0,410,103,65.1,,,,66.1,63.2,124,0-0,0.42
,,86489,air-force-falcons,,394968,,Alex Moore,MW,AIR FORCE,76,T,2024,800,0.0068,0,0,625,175,72.6,,,,47.4,73.2,204,0-0,0.42
,,182300,air-force-falcons,,406548,,Anthony DeBerardino,MW,AIR FORCE,S45,LS,2024,1,0.0,0,0,1,0,60.0,,,,,60.0,0,0-0,0.42
,,173848,air-force-falcons,,406503,,Are'an Burr,MW,AIR FORCE,D54,LB,2024,1,0.0,0,0,1,0,60.0,,,,,60.0,1,0-0,0.42
,,157926,air-force-falcons,,386385,,Brandon Engel,MW,AIR FORCE,02,WR,2024,165,0.0014,0,41,124,0,62.1,91.7,50.7,,,71.3,21,0-0,0.42
,,173861,air-force-falcons,,406561,,Bruin Fleischmann,MW,AIR FORCE,88,TE,2024,700,0.0059,0,126,550,24,61.9,,58.8,,64.5,62.0,148,3-0,0.42
,,157896,air-force-falcons,,386414,,Cade Harris,MW,AIR FORCE,21,HB,2024,586,0.005,48,157,380,1,72.0,,67.2,77.2,65.5,66.3,119,1-0,0.42
,,186437,air-force-falcons,,434051,,Cade Palmer,MW,AIR FORCE,23,FB,2024,3,0.0,0,0,2,1,60.0,,,,0.0,60.0,1,0-0,0.42
,,157916,air-force-falcons,,391996,,Cameron Breier,MW,AIR FORCE,06,WR,2024,235,0.002,2,16,217,0,66.1,,52.4,60.5,,74.8,57,0-0,0.42
,,173853,air-force-falcons,,446962,,Cameron Collins,MW,AIR FORCE,77,T,2024,1,0.0,0,0,1,0,60.0,,,,,60.0,0,0-0,0.42
,,173863,air-force-falcons,,406585,,Christopher Frew,MW,AIR FORCE,08,HB,2024,261,0.0022,47,36,174,4,71.0,,54.9,73.8,76.7,60.6,36,0-0,0.42
,,173854,air-force-falcons,,406535,,Costen Cooley,MW,AIR FORCE,67,C,2024,714,0.0061,0,0,543,171,82.0,,,,59.4,81.1,178,0-0,0.42
,,173882,air-force-falcons,,406693,,Darius Stone,MW,AIR FORCE,34,HB,2024,3,0.0,3,0,0,0,48.3,,,53.0,,,0,0-0,0.42
,,173850,air-force-falcons,,406509,,Dylan Carson,MW,AIR FORCE,05,FB,2024,352,0.003,140,19,138,55,68.0,,53.8,69.9,67.7,45.5,87,0-0,0.42
,,173875,air-force-falcons,,406667,,Evan Rau,MW,AIR FORCE,29,WR,2024,21,0.0002,0,7,14,0,45.8,,31.9,,,50.7,3,0-0,0.42
,,173843,air-force-falcons,,406476,,Gabriel Averitt,MW,AIR FORCE,57,C,2024,10,0.0001,0,0,2,8,57.7,,,,29.8,60.0,1,0-0,0.42
,,186446,air-force-falcons,,0,,Gage Spencer,MW,AIR FORCE,63,T,2024,15,0.0001,0,0,8,7,58.0,,,,63.4,56.2,2,0-0,0.42
,,186447,air-force-falcons,,0,,Griffin Stalfort,MW,AIR FORCE,53,G,2024,1,0.0,0,0,1,0,60.0,,,,,60.0,0,0-0,0.42
,,173883,air-force-falcons,,406695,,Jace Sutulovich,MW,AIR FORCE,66,G,2024,169,0.0014,0,0,126,43,64.2,,,,60.4,63.3,38,0-0,0.42
,,173847,air-force-falcons,,434044,,Jack Burnett,MW,AIR FORCE,62,C,2024,113,0.001,0,0,103,10,79.5,,,,0.0,77.5,28,0-0,0.42
,,156008,air-force-falcons,,394614,,Jackson Kohal,MW,AIR FORCE,54,G,2024,182,0.0015,0,0,132,50,72.0,,,,61.6,71.7,52,0-0,0.42
,,157899,air-force-falcons,,381485,,Jake Martin,MW,AIR FORCE,D07,S,2024,1,0.0,0,0,1,0,60.0,,,,,60.0,0,0-0,0.42
,,169169,air-force-falcons,,394969,,Jared Roznos,MW,AIR FORCE,13,WR,2024,187,0.0016,0,45,142,0,54.7,,54.1,,,55.5,17,0-0,0.42
